,Vt,Vm,V0,Vform,SVA,ArtOrDet,Nn,Npos,Pform,Pref,Prep,Wci,Wa,Wform,Wtone,Srun,Smod,Spar,Sfrag,Ssub,WOinc,WOadv,Trans,Mec,Rloc-,Cit,Others,Um
iter181,20,22,18,26,24,3,17,10,2,14,15,4,0,23,11,5,27,7,8,12,21,9,13,19,16,1,6,25
iter182,23,21,7,26,25,8,15,4,2,13,11,12,0,19,10,17,27,16,22,3,9,6,20,14,18,1,5,24
iter183,20,18,15,26,24,6,16,3,0,5,9,8,2,22,7,11,27,19,25,14,17,10,12,21,13,1,4,23
iter184,22,20,15,25,23,5,17,4,0,11,12,6,13,18,7,14,27,24,8,21,3,10,9,19,16,1,2,26
iter185,22,21,13,27,23,7,14,12,1,3,11,9,0,24,2,10,26,16,20,6,19,4,18,15,17,5,8,25
iter186,22,18,8,26,25,4,16,11,3,6,10,9,0,23,12,7,27,14,13,15,21,1,17,20,19,2,5,24
iter187,19,22,4,26,25,2,13,8,1,6,15,9,5,24,11,12,27,16,23,21,7,10,14,20,17,0,3,18
iter188,24,25,20,26,22,4,13,11,10,8,7,9,5,19,1,15,27,12,16,2,18,6,17,21,14,0,3,23
iter189,21,23,24,25,22,4,13,1,6,3,8,7,9,17,11,12,27,15,20,10,18,2,14,19,16,0,5,26
iter190,15,25,5,27,26,7,11,10,0,4,16,3,24,21,9,6,22,8,13,14,19,17,12,20,18,1,2,23
iter191,23,24,16,27,22,5,12,13,1,6,9,3,17,20,7,15,26,8,18,10,11,4,19,21,14,0,2,25
iter192,20,22,12,26,24,3,15,1,2,6,10,5,23,16,9,18,27,14,17,8,19,4,11,21,13,0,7,25
iter193,19,24,3,27,21,6,13,14,2,4,12,7,26,22,8,10,25,11,17,1,15,5,16,20,18,0,9,23
iter194,22,17,16,26,25,8,10,11,2,5,15,7,0,20,4,12,27,9,23,14,21,1,18,19,13,3,6,24
iter195,21,15,22,26,24,4,13,6,9,10,18,11,1,17,2,3,27,19,23,8,14,7,5,20,16,0,12,25
iter196,22,25,16,26,23,4,8,1,3,6,12,7,18,20,9,13,27,21,14,5,11,2,15,19,17,0,10,24
iter197,23,24,19,26,22,4,15,0,1,8,16,7,20,18,6,12,27,11,21,3,13,9,10,17,14,2,5,25
iter198,22,21,10,26,24,8,12,1,2,4,16,9,0,18,7,15,27,20,17,3,23,14,13,19,11,5,6,25
iter199,21,19,1,26,23,6,15,5,3,2,12,9,0,14,20,17,27,11,25,7,8,13,16,22,18,4,10,24
iter200,23,15,18,25,22,6,19,0,4,13,14,7,2,16,9,12,27,21,24,5,17,3,10,20,11,1,8,26
iter201,19,25,9,26,24,5,14,0,15,6,13,3,1,21,16,17,27,4,10,2,11,12,18,22,20,7,8,23
iter202,20,18,17,26,24,3,14,0,7,2,8,6,25,15,4,10,27,19,21,12,11,9,13,22,16,1,5,23
iter203,20,24,19,26,23,4,15,2,7,9,17,11,0,22,3,12,27,18,6,8,13,5,14,21,16,1,10,25
iter204,19,24,22,26,25,4,12,7,0,11,14,9,1,21,6,10,27,16,5,8,20,13,15,18,17,3,2,23
iter205,18,25,19,26,23,4,9,0,22,11,8,5,3,21,10,15,27,16,20,2,14,6,13,17,12,1,7,24
iter206,21,23,20,27,22,4,13,1,8,12,11,5,24,18,3,7,26,10,16,2,17,9,14,19,15,0,6,25
iter207,16,24,19,27,23,4,14,1,2,3,11,5,8,18,13,7,26,22,12,10,17,20,9,21,15,0,6,25
iter208,21,19,10,23,24,9,14,4,0,1,11,7,26,20,8,22,27,15,18,3,16,2,13,17,12,5,6,25
iter209,21,24,12,25,22,11,17,1,5,2,16,6,8,23,4,10,27,15,0,13,20,14,9,18,19,3,7,26
iter210,21,16,10,26,25,7,15,4,0,13,11,5,2,20,14,8,24,22,23,12,18,3,9,19,17,1,6,27
iter211,20,21,16,26,23,6,11,0,24,7,9,5,25,19,3,10,27,14,12,4,15,1,22,17,13,2,8,18
iter212,22,6,9,26,23,7,15,1,3,4,8,5,0,20,14,13,27,11,25,17,21,12,19,18,16,2,10,24
iter213,20,24,13,26,25,8,15,10,11,14,12,7,1,21,2,19,27,3,23,4,17,6,9,18,16,0,5,22
iter214,21,23,5,25,26,4,13,0,3,8,7,10,20,18,11,12,27,15,16,17,24,6,9,19,14,2,1,22
iter215,23,22,17,26,25,8,16,5,0,6,11,9,1,20,7,15,27,12,3,4,19,10,18,21,14,2,13,24
iter216,23,24,20,26,25,2,10,9,4,5,12,7,3,19,6,8,27,16,13,14,17,22,18,15,11,0,1,21
iter217,22,15,25,23,21,5,12,13,2,11,9,6,1,19,7,17,27,8,26,16,10,4,18,20,14,0,3,24
iter218,21,19,4,26,23,6,18,0,5,10,11,12,2,16,15,14,27,17,24,7,8,1,9,22,20,3,13,25
iter219,24,22,10,27,25,3,16,5,18,4,14,7,0,19,12,13,26,9,21,2,15,6,11,20,17,1,8,23
iter220,19,9,24,26,23,7,12,2,0,8,14,10,21,22,4,6,27,11,18,3,15,5,16,20,13,1,17,25
iter221,22,25,11,26,24,10,16,9,1,3,13,8,2,20,14,5,27,6,19,12,15,4,18,21,17,0,7,23
iter222,19,11,18,26,25,3,13,2,9,15,12,7,1,23,0,10,27,22,17,21,6,8,14,20,16,4,5,24
