,R:VERB:FORM,R:VERB:TENSE,M:NOUN,U:PREP,M:VERB:TENSE,R:PRON,R:SPELL,R:ADV,U:NOUN:POSS,R:ORTH,M:DET,U:OTHER,R:NOUN,U:ADV,M:ADJ,R:PREP,R:CONJ,U:NOUN,M:VERB:FORM,R:NOUN:NUM,R:NOUN:POSS,U:VERB:FORM,R:CONTR,M:ADV,U:DET,U:PUNCT,M:PRON,U:PART,R:NOUN:INFL,M:PART,M:CONJ,R:VERB:SVA,M:PUNCT,R:PUNCT,M:NOUN:POSS,U:VERB:TENSE,U:PRON,U:CONJ,R:WO,R:VERB,R:ADJ,M:PREP,R:VERB:INFL,U:ADJ,U:VERB,M:OTHER,U:CONTR,UNK,R:OTHER,R:PART,R:MORPH,R:DET,M:VERB,R:ADJ:FORM
iter68,48,25,43,27,17,3,50,7,35,21,20,23,28,36,6,12,33,4,34,24,0,39,37,10,13,18,16,2,49,29,9,46,11,15,8,41,51,45,42,14,38,32,52,30,31,5,53,44,26,1,40,19,47,22
iter69,42,29,24,31,13,6,38,36,43,22,21,35,15,26,10,16,9,7,51,28,1,32,48,4,11,12,33,17,52,2,18,41,14,39,5,46,49,50,37,19,27,45,0,25,30,8,53,44,23,3,34,20,47,40
iter70,46,33,25,40,29,5,48,36,45,28,22,27,31,18,26,19,1,3,49,23,0,44,51,10,9,24,17,6,50,21,20,42,15,38,8,34,39,52,41,13,12,32,53,16,35,4,14,47,30,2,37,11,43,7
iter71,44,34,45,32,16,2,46,36,22,33,21,27,23,30,8,19,7,5,49,28,0,43,53,4,10,12,14,9,50,31,39,41,11,38,3,37,35,51,20,18,17,40,48,25,24,6,52,42,26,1,29,15,47,13
iter72,47,33,46,39,26,7,38,10,9,23,32,34,31,30,45,24,11,6,52,25,1,8,17,3,12,18,20,2,48,21,41,44,22,42,13,37,40,50,43,27,14,36,0,16,28,5,53,49,29,4,35,19,51,15
iter73,47,29,40,35,20,5,51,10,27,24,18,23,22,32,30,19,36,4,49,28,0,21,43,8,14,6,17,1,50,25,11,41,13,38,3,33,34,46,48,16,15,45,52,39,31,2,53,37,26,7,44,9,42,12
iter74,46,27,33,41,23,6,48,35,8,28,22,32,16,19,26,18,34,5,52,30,0,7,11,13,14,12,15,2,50,1,9,43,24,20,10,39,47,45,44,21,25,36,49,42,31,4,53,38,29,3,37,17,40,51
iter75,48,33,34,31,20,8,49,17,12,36,24,28,21,23,41,18,1,11,37,26,0,16,51,6,15,13,39,2,52,3,10,42,19,32,4,44,40,50,45,22,27,38,14,30,47,7,53,43,29,5,35,25,46,9
iter76,47,32,31,38,17,6,44,9,25,23,24,28,29,16,36,19,5,11,48,26,1,33,49,10,13,12,45,4,51,3,42,46,15,20,7,35,14,52,39,22,34,43,53,30,40,8,0,41,21,2,37,18,50,27
iter77,46,20,36,38,15,4,35,31,10,33,16,30,18,40,25,14,17,6,50,29,1,34,51,13,9,12,21,2,52,48,8,44,24,41,7,19,47,49,26,23,11,43,53,39,28,5,0,37,27,3,42,22,45,32
iter78,50,38,25,32,15,9,51,17,27,35,29,39,34,28,33,19,2,3,52,26,1,40,20,5,18,23,37,12,53,14,6,47,24,44,4,49,45,46,43,31,10,36,0,11,16,7,13,42,30,8,41,21,48,22
iter79,45,27,30,37,24,5,43,8,29,13,28,32,25,16,48,19,2,11,50,31,0,21,46,15,14,9,38,6,52,20,12,41,18,33,3,35,49,51,40,17,10,26,1,39,34,7,53,47,36,4,42,22,44,23
iter80,43,31,35,37,32,4,45,16,30,26,27,24,22,25,21,18,46,9,52,29,1,47,50,8,10,5,6,20,51,7,13,49,17,39,11,36,48,53,38,34,15,42,0,23,33,3,12,44,28,2,40,14,41,19
iter81,48,30,41,37,10,7,44,16,8,17,24,31,26,15,45,22,49,5,50,28,0,46,52,13,12,14,6,3,39,18,11,40,19,33,9,36,35,51,29,25,20,27,2,38,34,4,53,43,23,1,32,21,47,42
iter82,50,33,14,38,31,2,51,39,13,21,29,32,26,35,6,25,1,3,41,34,0,49,47,9,8,15,11,36,53,12,4,44,22,27,10,16,46,52,43,20,24,45,23,30,40,5,17,42,28,7,37,18,48,19
iter83,50,31,38,36,23,7,37,39,48,34,26,32,22,24,25,15,11,8,53,35,0,17,46,2,16,9,21,14,52,27,5,43,18,30,6,40,41,51,47,33,20,42,4,19,29,3,13,44,28,1,45,12,49,10
iter84,45,25,29,34,15,2,51,42,23,20,22,33,27,24,44,21,46,6,43,26,0,48,3,8,9,11,7,5,52,39,13,41,18,36,17,32,40,50,49,19,12,31,53,10,30,4,35,38,28,1,37,16,47,14
iter85,46,23,38,21,28,3,47,17,40,29,16,22,33,39,32,19,8,9,44,30,0,10,49,1,13,14,18,2,51,5,11,37,12,27,6,43,50,45,42,20,24,34,52,41,31,7,53,48,26,4,35,15,36,25
iter86,46,29,38,37,30,3,48,31,42,20,23,33,22,35,39,15,2,7,36,32,0,43,51,5,12,14,25,11,53,8,16,40,13,34,10,44,45,49,24,26,18,28,52,17,19,6,1,47,27,4,41,21,50,9
iter87,45,37,33,39,19,7,52,13,29,34,26,35,28,36,14,30,4,10,44,22,0,5,51,11,15,17,18,2,53,3,38,48,20,43,8,27,42,50,49,25,16,41,6,21,31,9,1,46,32,12,40,23,47,24
